estacao;codigo;data_hora;nivel_m;vazao;chuva
Santa Tereza;86472600;2026-09-21 12:00:00;6,39;;1,20
Santa Tereza;86472600;2026-09-21 12:15:00;6,47;;2,40
Santa Tereza;86472600;2026-09-21 12:30:00;6,62;;3,40
Santa Tereza;86472600;2026-09-21 12:45:00;6,86;;3,40
Santa Tereza;86472600;2026-09-21 13:00:00;7,22;;0,80
Santa Tereza;86472600;2026-09-21 13:15:00;7,67;;0,20
Santa Tereza;86472600;2026-09-21 13:30:00;8,16;;0,00
Santa Tereza;86472600;2026-09-21 13:45:00;8,63;;0,40
Santa Tereza;86472600;2026-09-21 14:00:00;9,07;;0,20
Santa Tereza;86472600;2026-09-21 14:15:00;9,48;;3,40
Santa Tereza;86472600;2026-09-21 14:30:00;9,86;;0,00
Santa Tereza;86472600;2026-09-21 14:45:00;10,13;;0,00
Santa Tereza;86472600;2026-09-21 15:00:00;10,40;;0,00
Santa Tereza;86472600;2026-09-21 15:15:00;10,64;;0,20
Santa Tereza;86472600;2026-09-21 15:30:00;10,85;;0,00
Santa Tereza;86472600;2026-09-21 15:45:00;11,06;;0,00
Santa Tereza;86472600;2026-09-21 16:00:00;11,21;;0,80
Santa Tereza;86472600;2026-09-21 16:15:00;11,35;;0,20
Santa Tereza;86472600;2026-09-21 16:30:00;11,52;;1,60
Santa Tereza;86472600;2026-09-21 16:45:00;11,68;;0,20
Santa Tereza;86472600;2026-09-21 17:00:00;11,85;;0,00
Santa Tereza;86472600;2026-09-21 17:15:00;12,01;;1,20
Santa Tereza;86472600;2026-09-21 17:30:00;12,16;;0,20
Santa Tereza;86472600;2026-09-21 17:45:00;12,33;;0,60
Santa Tereza;86472600;2026-09-21 18:00:00;12,42;;0,20
Santa Tereza;86472600;2026-09-21 18:15:00;12,58;;0,00
Santa Tereza;86472600;2026-09-21 18:30:00;12,68;;0,20
Santa Tereza;86472600;2026-09-21 18:45:00;12,81;;0,00
Santa Tereza;86472600;2026-09-21 19:00:00;12,98;;0,00
Santa Tereza;86472600;2026-09-21 19:15:00;13,14;;0,00
Santa Tereza;86472600;2026-09-21 19:30:00;13,32;;0,00
